1, 🎄겨울에 ☃️ 태어난🤱🏻 아름다운🦋 당신은💙 눈처럼❄️ 깨끗한✨ 나만의 당신💙 생일 축하합니다🎂 생일축하합니다 🍰 생일 축하합니다 🎉  당신의 생일을❣️🎁❣️ Happy birthday to you 🎉🎂✨ (Happy birthday to you 🎊) Happy birthday to you 🎉🍰🎁 (Happy birthday to you ✨)  
2, 어머어머👏👏 오늘 생일이라고?😆 정말정말😉 생일축하해❣️🎉 🎉 생일선물은 🎁  여기서🍗🍔🍕골라봐 뭐⁉️ 맘에 드는게 없다구❓ 그럼🥓🥩🍖🌭🍣🍝🥗🍫🍮🍩여기서 골라봐‼️뭐⁉️ 맘에 드는게 없다구 ⁉️그럼 선물은🧸  나야 
3, 자기야💕 오늘의 자기 생일이야 💝 태어나줘서 ･ﾟ* 🎀 고마워 🎀 *ﾟ･  나 자기 없으면 🙅🏻‍♀️ 못살아 🤦🏻‍♀️ 내 인생엔 자기뿐 💓 생일 너무너무 축하해 🎂 자기야💕 오늘의 자기 생일이야 💝 태어나줘서 ･ﾟ* 🎀 고마워 🎀 *ﾟ･  나 자기 없으면 🙅🏻‍♀️ 못살아 🤦🏻‍♀️ 내 인생엔 자기뿐 💓 생일 너무너무 축하해 🎂
4, 생일 축하합니다👏 생일 축하합니다 🎁 사랑하는 내 사랑 💝생일 축하합니다 🎉생일 축하합니다👏 생일 축하합니다 🎁 사랑하는 내 사랑 💝생일 축하합니다 🎉
5, 뭐어⁉️ 생일이라고⁉️ 💃🏼🕺 축하축하룽👯‍♀️ 축하축하룽🧚🏻‍♀️ 축하축하룽🤸‍♀️축하축하룽🤹 축하축하룽🎷 축하축하룽🎸 축하축하룽🎤 축하축하룽🎻 축하축하룽🚀 축하축하룽🎡 축하축하룽🎇 축하축하룽🎉 축하축하룽🎊 축하축하룽🎀 축하축하룽🛍 축하축하룽🎁
69, 생일 축하해, 자기야! 나랑 함께한 모든 날이 네 행복의 일부였으면 좋겠어! 💝🎂
70, 경환아, 네가 내 남자친구라서 정말 행복해! 생일 축하해! 💑✨
71, 우리 경환 생일! 🥳 내일보다 더 행복한 오늘을 선물해줄게! 🎁
72, 경환아, 생일 축하해! 넌 내가 가장 사랑하는 사람이야. 💌
73, 세상에서 제일 멋진 남자친구 생일 축하해! 🎂 항상 고마워! 💕
74, 생일 축하해, 경환아! 네가 웃을 때 내 세상도 밝아져! 😘✨
75, 내 사랑 경환, 오늘도 내일도 널 사랑할게. 생일 진심으로 축하해! 💖
76, 경환아, 너랑 함께라면 매일이 생일처럼 특별해. 🎉💘
77, 생일 축하해, 내 운명 같은 사람! 💕 네가 내 옆에 있어줘서 고마워! 🎁
78, 경환아, 네가 내 남자친구라서 정말 자랑스러워! 생일 축하해! 🥰🎂
79, 사랑해, 경환아! 오늘 하루는 네가 제일 행복했으면 좋겠어! 🎉💌
80, 생일 축하해, 자기야! 네가 태어난 날을 내가 축복할게! ❤️✨
81, 경환아, 생일 축하해! 오늘도 내가 널 제일 사랑하는 사람이라는 걸 잊지 마! 💑🎉
82, 우리 경환이, 생일 진심으로 축하해! 매일매일 더 행복하자! 💕
83, 생일 축하해, 자기! 네가 있어서 내 인생이 더 빛나! 🌟🎂
84, 사랑하는 경환아, 오늘 하루 내 모든 사랑을 너에게 줄게! ❤️🎁
85, 경환아, 생일 축하해! 나랑 오래오래 함께하자. 💘
86, 내 남자친구 경환, 생일 축하하고 더 많이 사랑할게! 😘✨
87, 경환아, 네 생일은 내게도 가장 특별한 날이야! 진심으로 축하해! 💖🎉
88, 생일 축하해, 자기! 오늘만큼은 모든 걸 네가 원하는 대로! 💕🎂
89, 사랑하는 경환아, 너와 함께하는 하루하루가 선물이야. 생일 축하해! 🎁❤️
90, 생일 축하해, 경환! 네가 웃을 때 내 마음도 춤춘다! 💃💕
91, 내 세상 경환, 생일 진심으로 축하하고 사랑해! 🥳💘
92, 경환아, 오늘은 네가 주인공이야! 생일 축하해! 🎂🎁
93, 사랑하는 경환아, 올해도 네 곁에서 행복 줄게. 생일 축하해! ❤️✨
94, 생일 축하해, 자기야! 오늘은 너만 생각하며 하루를 보낼게! 😘💕
95, 경환아, 네가 내 삶에 있어줘서 정말 고마워. 생일 진심으로 축하해! 💌🎉
96, 내 사랑 경환, 생일 축하하고 매 순간 행복하자! 💖🎂
97, 경환아, 오늘도 내일도 널 사랑해! 생일 축하해! 💕🌹
98, 세상에서 제일 멋진 남자친구 생일 축하해! 너랑 함께라서 행복해! 🎁✨
99, 사랑해, 경환아! 오늘은 특별히 더 많이 사랑할게! 생일 축하해! 🎂💌
100, 내 전부인 경환, 생일 진심으로 축하하고 영원히 사랑할게! ❤️🎉
101, 경환아, 오늘 하루만큼은 네가 세상에서 가장 빛나는 사람이길 바라. 생일 진심으로 축하해! 🎉✨
102, 네가 내 삶에 들어와준 순간부터 모든 게 더 나아졌어. 경환아, 생일 축하해! 💫
103, 오늘은 네가 세상에 온 날이야. 너라는 존재가 얼마나 특별한지 알았으면 해. 생일 축하해! ❤️
104, 경환아, 너의 따뜻함과 배려 덕분에 많은 사람들이 행복해진다는 걸 알아? 생일 진심으로 축하해! 🌟
105, 세상은 네가 있어서 훨씬 더 아름답고 밝아졌어. 생일 축하해, 경환! 🥳
106, 너라는 사람을 알게 된 건 내게 주어진 가장 큰 선물이야. 생일 축하해! 🎁
107, 네가 꿈꾸는 모든 것이 이루어지길 진심으로 바랄게. 생일 축하해, 경환! ✨
108, 오늘은 네가 받은 사랑만큼 베푸는 사람이 되길 다짐하는 날! 생일 축하해! 💖
109, 경환아, 네가 얼마나 많은 사람들에게 영향을 주는지 항상 잊지 마. 생일 축하해! 🌈
110, 오늘 하루는 온전히 너를 위한 시간으로 채워졌으면 좋겠어. 생일 진심으로 축하해! 💕
111, 경환, 너의 특별함이 더 많은 사람들에게 닿기를 바라. 생일 축하해! 🎂
112, 오늘은 세상이 더 따뜻해진 날이야. 네가 태어난 날이니까! 생일 축하해! 🌞
113, 경환아, 너의 행복이 곧 우리의 행복이야. 생일 정말 축하해! ❤️
114, 너만의 특별한 빛이 늘 주변을 밝혀줘. 그런 너를 아끼고 사랑해. 생일 축하해! 🌟
115, 네가 가진 그 긍정 에너지가 더 많은 사람들에게 퍼지길 바라. 생일 축하해, 경환! 🎉
116, 너는 정말 세상에 하나밖에 없는 사람이라는 걸 기억했으면 해. 생일 축하해! 🎁
117, 경환아, 네가 받은 사랑만큼 더 많은 사랑을 주는 사람인 걸 알아. 생일 축하해! 💕
118, 세상에 하나뿐인 너의 날을 진심으로 축하해! 경환, 늘 행복하길 바라! ✨
119, 너처럼 멋지고 따뜻한 사람이 내 곁에 있어줘서 고마워. 생일 축하해! 💌
120, 오늘만큼은 네가 세상에서 가장 소중한 사람이야. 생일 진심으로 축하해! 🌈
121, 경환아, 너는 단순히 태어난 게 아니라 세상을 더 좋게 만들기 위해 온 거야. 생일 축하해! 🎉
122, 너의 웃음은 주변 사람들에게 에너지가 돼. 오늘도 많이 웃길 바랄게! 생일 축하해! 😊
123, 세상에 너 같은 사람이 있다는 게 얼마나 큰 행운인지 몰라. 생일 축하해, 경환! 💖
124, 너와 함께한 시간들 덕분에 내가 더 좋은 사람이 될 수 있었어. 생일 축하해! 🌟
125, 네가 가진 따뜻함과 진심이 더 많은 이들에게 전해지길 바라. 생일 축하해, 경환! 🎂
126, 너를 생각하면 마음이 따뜻해져. 그런 너를 위해 오늘은 가장 특별한 날이길! 생일 축하해! 💕
127, 너의 열정과 노력에 늘 감동받아. 그런 너의 날을 진심으로 축하해! 🎁
128, 경환아, 너는 세상을 더 따뜻하게 만드는 존재야. 생일 축하해! ❤️
129, 네가 태어난 날은 모든 이들에게 축복 같은 날이야. 생일 축하해! 🌈
130, 너라는 사람이 있어서 세상이 얼마나 더 좋아졌는지 알았으면 좋겠어. 생일 축하해, 경환! 🎉

131, 경환아, 네가 얼마나 많은 사람들에게 영감을 주는지 항상 기억했으면 해. 생일 축하해! 🌟
132, 너라는 존재 자체가 기적이야. 그런 너의 날을 진심으로 축하해! 🎉
133, 경환아, 세상을 더 나은 곳으로 만드는 너의 날을 진심으로 축하해! 💖
134, 오늘은 네가 주인공인 날이야. 세상의 모든 축복을 너에게 보내! 생일 축하해! 🎂
135, 네가 내 곁에 있다는 게 얼마나 큰 행복인지 몰라. 생일 축하해, 경환! 🌈
136, 너의 특별한 날이니까 오늘은 네가 하고 싶은 거 다 해도 좋아! 생일 축하해! 😊
137, 경환아, 너의 따뜻함이 모든 이들에게 더 많이 전해지길 바라. 생일 축하해! 🎁
138, 오늘은 네가 얼마나 소중한 사람인지 다시 한번 느끼는 날이야. 생일 축하해! 💌
139, 네가 있어 우리 모두가 더 행복해. 생일 축하하고 사랑해! ❤️
140, 경환아, 너는 정말 세상에 둘도 없는 특별한 사람이야. 생일 축하해! 🎉
141, 네가 웃으면 세상도 함께 웃는 것 같아. 오늘도 웃음이 가득하길! 생일 축하해! 😊
142, 경환아, 네가 내게 준 따뜻함을 잊지 않을게. 생일 진심으로 축하해! 💖
143, 세상이 너의 날을 더 밝게 만들어 주고 있어. 생일 축하해, 경환! 🌟
144, 너라는 사람과 함께할 수 있어 정말 행복해. 생일 진심으로 축하해! 🎂
145, 네가 가진 가능성은 무한해. 그런 너의 날을 축하할 수 있어 정말 기뻐! 🎉
146, 오늘 하루는 모든 게 네가 원하는 대로 이루어졌으면 좋겠어. 생일 축하해! 💕
147, 경환아, 네가 세상에 준 사랑이 몇 배로 돌아오길 바라. 생일 축하해! 🎁
148, 너라는 사람은 주변 모두에게 희망을 주는 존재야. 생일 축하해, 경환! ❤️
149, 오늘만큼은 네가 세상에서 가장 특별한 사람이야. 생일 진심으로 축하해! 🌈
150, 경환아, 네가 얼마나 소중한지 다시 한번 말하고 싶어. 생일 축하해! 💌
151, 오늘은 네가 세상에 태어난 날이자, 모두에게 축복이 된 날이야. 생일 축하해! 🎉
152, 경환아, 네가 태어나지 않았다면 세상은 지금보다 덜 따뜻했을 거야. 생일 축하해! 🌟
153, 너의 따뜻함과 진심이 모두를 감동시켜. 그런 너를 위해 오늘을 축하해! 💖
154, 경환아, 네가 얼마나 소중한 사람인지 매일매일 느껴. 생일 축하해! 🎂
155, 네가 내게 준 모든 순간에 감사해. 오늘은 그런 너를 축하하는 날이야! ❤️
156, 경환아, 오늘은 네가 세상에서 가장 행복해야 하는 날이야. 생일 축하해! 🎁
157, 너의 존재는 축복이야. 그런 너와 함께할 수 있어 정말 행복해. 생일 축하해! 💕
158, 경환아, 네가 가진 모든 아름다움이 오늘 하루 더 빛나길 바라. 생일 축하해! 🌈
159, 오늘은 네가 주인공인 날이야. 세상의 모든 사랑을 받길 바랄게! 생일 축하해! 😊
160, 세상이 너에게 준 만큼 더 많은 사랑을 줄게. 생일 진심으로 축하해! 💌
161, 너의 꿈이 모두 이루어지는 멋진 한 해가 되길 바라. 생일 축하해, 경환! 🎉
162, 경환아, 네가 얼마나 많은 이들에게 좋은 영향을 주는지 알았으면 좋겠어. 생일 축하해! 🌟
163, 너의 모든 순간이 빛나길 바라. 오늘은 그런 너의 날이니까! 생일 축하해! 💖
164, 경환아, 오늘 하루가 네가 받는 축복으로 가득하길 바라. 생일 진심으로 축하해! 🎂
165, 네가 얼마나 소중한 사람인지 알게 된 날이 바로 오늘이야. 생일 축하해! ❤️
166, 너와 함께한 모든 순간이 특별했어. 오늘은 네가 특별해지는 날! 🎁
167, 경환아, 네가 내게 준 행복을 오늘은 네가 받을 차례야. 생일 축하해! 💕
168, 너는 정말 내가 아는 사람 중 가장 빛나는 사람이야. 생일 축하해! 🌈
169, 오늘은 너를 위한 하루로 가득 채워졌으면 좋겠어. 생일 축하해! 😊
170, 너라는 사람을 알게 된 것만으로도 내 삶이 더 나아졌어. 생일 진심으로 축하해! 💌
171, 네가 받은 사랑만큼 더 큰 사랑을 주는 사람이 되길 바라. 생일 축하해! 🎉
172, 너의 따뜻한 마음 덕분에 많은 이들이 행복해. 그런 너를 축하해! 🌟
173, 경환아, 오늘은 네가 중심이 되는 날이야. 마음껏 즐겨! 생일 축하해! 💖
174, 네가 세상에 있다는 게 얼마나 큰 기쁨인지 몰라. 생일 축하해, 경환! 🎂
175, 세상이 네게 줄 모든 행복을 오늘 누렸으면 좋겠어. 생일 축하해! ❤️
176, 너라는 사람과 같은 시대를 살아갈 수 있어서 고마워. 생일 진심으로 축하해! 🎁
177, 경환아, 오늘 하루 너만을 위한 모든 게 준비되길 바라. 생일 축하해! 💕
178, 네가 가진 그 따뜻함이 더 많은 사람들에게 퍼지길 바라. 생일 축하해! 🌈
179, 오늘은 네가 주는 행복을 받는 날! 마음껏 즐겨! 생일 축하해! 😊
180, 세상이 더 밝아진 건 너 덕분이야. 그런 너를 축하할 수 있어 영광이야! 💌
181, 경환아, 오늘은 네가 모든 걸 이룰 수 있는 날로 기억되길! 생일 축하해! 🎉
182, 너와 함께하는 모든 순간이 특별해. 오늘은 그런 너를 위한 날이야! 🌟
183, 경환아, 세상에서 가장 소중한 너의 날을 진심으로 축하해! 💖
184, 너의 따뜻함과 진심이 더 많은 이들에게 닿기를 바라. 생일 축하해! 🎂
185, 오늘은 네가 받은 사랑이 두 배로 돌아오는 날이길! 생일 축하해! ❤️
186, 네가 가진 모든 가능성이 빛나는 한 해가 되길 바라. 생일 축하해, 경환! 🎁
187, 세상이 너를 위해 준비한 축복을 오늘 모두 누렸으면 좋겠어. 생일 축하해! 💕
188, 경환아, 네가 얼마나 특별한 사람인지 다시 한번 느껴. 생일 진심으로 축하해! 🌈
189, 오늘 하루는 네가 원하는 대로 다 이루어지길 바라! 생일 축하해! 😊
190, 너라는 존재가 이 세상에 있다는 게 큰 축복이야. 생일 진심으로 축하해! 💌
191, 경환아, 오늘 하루는 너를 위한 모든 축복으로 가득 채워졌으면 좋겠어. 생일 축하해! 🎉
192, 너와 함께하는 순간은 늘 특별했어. 오늘은 그런 너를 위해 준비된 날! 🌟
193, 세상에서 가장 빛나는 사람인 너를 위한 하루를 축하해! 💖
194, 경환아, 오늘은 네가 얼마나 소중한 사람인지 모두가 알았으면 좋겠어. 생일 축하해! 🎂
195, 너의 꿈이 모두 이루어지는 멋진 한 해가 되길 바라. 생일 축하해! ❤️
196, 네가 내게 준 모든 행복을 오늘 돌려주고 싶어. 생일 축하해! 🎁
197, 경환아, 오늘 하루는 네가 받은 모든 사랑을 누리길 바라! 💕
198, 세상에서 가장 특별한 너의 날이 행복으로 가득하길! 생일 축하해! 🌈
199, 네가 있어 세상이 더 따뜻해졌어. 그런 너를 축하할 수 있어 정말 고마워! 😊
200, 경환아, 네가 받은 모든 사랑과 축복이 두 배로 돌아오길 바라. 생일 진심으로 축하해! 💌
